run_id,case_id,case_title,bucket,mode,baseline_score,final_score,delta,iterations,tokens,latency_ms,baseline_proxy_auroc,final_proxy_auroc,baseline_proxy_brier,final_proxy_brier,baseline_proxy_ece,final_proxy_ece,baseline_proxy_f1,final_proxy_f1,baseline_proxy_conf_std,final_proxy_conf_std,baseline_proxy_judge_consistency,final_proxy_judge_consistency,baseline_proxy_overconfidence,final_proxy_overconfidence,baseline_proxy_agreement,final_proxy_agreement
4dfc19cde1904cbc84c308a05e9b9cb2,ml-01,Арифметическое выражение,math_logic,benchmark,0.8333,1.0,0.1667,1,1123,4039,0.0,0.0,0.6667,0.625,0.6667,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,0.5,0.3333,0.5
09f390eef4d9439cbce6adf7fd998425,ml-02,Среднее и прибавка,math_logic,benchmark,0.8333,1.0,0.1667,1,1938,10673,0.0,0.3,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.0,0.25
c323ccd6a14b4dc7a6671c26719b17fc,ml-03,Средняя скорость,math_logic,benchmark,1.0,1.0,0.0,1,1228,4915,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
04d3f8262fe94aa7bcea38b7f3945a26,ml-04,Скидка на товар,math_logic,benchmark,0.4667,1.0,0.5333,1,2202,10137,0.0,0.2143,1.0,0.625,1.0,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.375
ba04167b4c64488c9aef6500637248c7,ml-05,Доля сиропа,math_logic,benchmark,0.8333,1.0,0.1667,1,1152,3844,0.0,0.125,1.0,0.7,1.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,0.0,0.2
bcc05789fbde4cd5a4803943644cddeb,ml-06,Перевод часов в минуты,math_logic,benchmark,0.8333,1.0,0.1667,1,1712,6850,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0a2a2de4590545619b3803fd04669f17,ml-07,Длина прямоугольника,math_logic,benchmark,0.8333,1.0,0.1667,1,2118,9520,0.0,0.0,1.0,0.8125,1.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0
d702e75567ac486ca2ffd8d53a857767,ml-08,Среднее арифметическое,math_logic,benchmark,0.4667,1.0,0.5333,1,1757,7064,0.0,0.25,0.625,0.4375,0.75,0.375,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.25,0.0,0.0
6d6c274ccd914ddda2087bdcff3015b5,ml-09,Подстановка в формулу,math_logic,benchmark,0.8333,1.0,0.1667,1,2297,10443,0.0,0.0,1.0,0.9062,1.0,0.9375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,0.125
21f7a7b0088f46eca6893baab9a8e065,ml-10,Ящики с яблоками,math_logic,benchmark,0.8333,1.0,0.1667,1,1763,10135,0.5,0.25,0.75,0.5312,0.75,0.4375,0.4,0.0,0.0,0.0,1.0,1.0,0.75,0.375,0.25,0.375
5f6d7b54a4a9488ab34f7b087cfe9f0d,ml-11,Время пешего маршрута,math_logic,benchmark,0.8333,1.0,0.1667,1,1157,5526,0.5,0.125,0.75,0.7,0.75,0.6,0.4,0.0,0.0,0.0,1.0,1.0,0.75,0.6,0.25,0.2
e0c8dacdf6724abeb3b7abb96e9229e5,ml-12,Остаток на складе,math_logic,benchmark,0.8333,1.0,0.1667,1,1183,5223,0.0,0.5,1.0,0.8571,1.0,0.8571,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8571,0.0,0.1429
86a6b5cf76bf4c89afc4191ee1d3ad60,ml-13,Простой процент по вкладу,math_logic,benchmark,0.8333,1.0,0.1667,1,2282,13767,0.5,0.0,0.6667,0.625,0.6667,0.75,0.5,0.0,0.0,0.0,1.0,1.0,0.6667,0.5,0.3333,0.5
6393febe406449fea5e7bf8e0db7a3d1,ml-14,Килограммы в граммы,math_logic,benchmark,0.8333,1.0,0.1667,1,1760,8906,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
aa45861bd5f645f2b9dbbc8841988ca8,ml-15,Состав класса,math_logic,benchmark,0.8333,1.0,0.1667,1,1816,7061,0.0,0.5,1.0,0.75,1.0,0.75,0.0,0.4,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.25
febd9e22ecdb43e5ac469e406b561008,an-01,AI-прокторинг,analysis,benchmark,0.75,0.75,0.0,1,3737,17505,0.0,0.0,0.7063,0.67,0.8375,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.5,0.25
390408680f5b4a3096b6d917936b9105,an-02,Удалённая работа в продуктовой команде,analysis,benchmark,0.7267,0.8333,0.1067,1,3434,17675,0.0,0.0,1.0,0.5788,1.0,0.7375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.0,0.125
164638d4864b48859209b969716d181a,an-03,Городской велошеринг,analysis,benchmark,0.81,0.81,0.0,1,3624,19961,0.0,0.0,0.8675,0.4,0.925,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.5,0.25
f758fbf64c764346b2bbd3e281fef161,an-04,LLM в образовательной среде,analysis,benchmark,0.6833,0.9167,0.2333,2,8595,42689,0.0,0.0,0.69,0.3475,0.825,0.575,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,0.0,0.25
e7d385448d0c42e2b2b9ec5dad1b7878,an-05,Солнечные панели на кампусе,analysis,benchmark,0.5367,0.81,0.2733,1,3295,15926,0.0,0.0,0.9287,0.6175,0.9625,0.725,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0
f3f72f49d9d74bca8f07a02997249826,an-06,Защита от фишинга,analysis,benchmark,0.6433,0.81,0.1667,1,3403,15970,0.0,0.0,0.7275,0.33,0.85,0.45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.0,0.125
75ed7fd245bc41e38ea69404860fce3b,an-07,Цифровой архив музея,analysis,benchmark,0.6433,0.6433,0.0,1,3567,16274,0.0,0.0,1.0,0.625,1.0,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.375,0.0
a068e5c07ba94cc3bf2aa93d0a3d031a,an-08,Вывод нового продукта,analysis,benchmark,0.6433,0.6433,0.0,1,3450,19050,0.0,0.0,1.0,0.4263,1.0,0.6375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.375
470d00858cc34bc5b64c9361fb677ec0,an-09,Клиническая система поддержки решений,analysis,benchmark,0.6433,0.4933,-0.15,1,3448,16270,0.0,0.0,0.7888,0.25,0.8875,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
643b09b1648c4cdaba3f89ea15cb95bc,an-10,Кризис воспроизводимости,analysis,benchmark,0.9167,0.7267,-0.19,1,3824,19038,0.0,0.0,0.91,0.69,0.95,0.825,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
7865db4a57ca407e885cba93c28cfb12,an-11,Электронное голосование,analysis,benchmark,0.9167,0.9167,0.0,1,3295,16274,0.0,0.0,1.0,0.6362,1.0,0.6625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.0,0.375
99d5c54576544d5da7e2bab19be1ffaf,an-12,Умный дом,analysis,benchmark,0.6433,0.7267,0.0833,2,8156,38996,0.0,0.0,1.0,0.7925,1.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,0.125
7737196dc14f4e629ff61b1e4295e0cf,an-13,Модерация онлайн-сообщества,analysis,benchmark,0.7933,0.7933,0.0,1,2936,12151,0.0,0.0,1.0,0.49,1.0,0.675,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0
826c35bb5f7e44e5a86a1627298ac0af,an-14,Миграция в облако,analysis,benchmark,0.81,0.7667,-0.0433,1,3838,16887,0.0,0.0,1.0,0.67,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.25
0ff7ab8c68ef40e9a91b806c7b8e8e43,an-15,Роботизация склада,analysis,benchmark,0.9167,0.6833,-0.2333,1,3464,16884,0.0,0.0,0.7463,0.7188,0.8625,0.8125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.0,0.125
